word,freq,pct_rank
accompanist,0.358,0.403
accompanists,0.591,0.541
accompany,0.135,0.088
accompanying,0.128,0.072
accomplice,0.142,0.106
accomplices,0.15,0.126
accomplish,0.101,0.019
accomplishable,0.294,0.347
accomplished,0.103,0.022
accomplisher,0.591,0.541
accomplishers,1.0,0.79
accomplishes,0.13,0.077
accomplishing,0.127,0.07
accomplishment,0.12,0.054
accomplishments,0.122,0.058
accord,0.121,0.056
accordance,0.123,0.061
accordances,0.591,0.541
accordant,0.419,0.446
accordantly,1.0,0.79
accorded,0.165,0.16
accorder,1.0,0.79
accorders,1.0,0.79
according,0.086,0.005
accordingly,0.109,0.032
accordion,0.157,0.142
accordionist,0.358,0.403
accordionists,1.0,0.79
accordions,0.229,0.271
accords,0.142,0.106
accost,0.204,0.234
accosted,0.162,0.153
accosting,0.206,0.237
accosts,0.257,0.306
accouchement,0.591,0.541
accouchements,1.0,0.79
accoucheur,1.0,0.79
accoucheurs,1.0,0.79
account,0.085,0.004
accountability,0.108,0.031
accountable,0.102,0.021
accountableness,1.0,0.79
accountably,0.303,0.355
accountancies,1.0,0.79
accountancy,0.216,0.252
accountant,0.126,0.067
accountants,0.128,0.072
accountantship,1.0,0.79
accountantships,1.0,0.79
accounted,0.122,0.058
accounting,0.107,0.029
accountings,0.325,0.375
accounts,0.095,0.012
accouter,1.0,0.79
accoutered,1.0,0.79
accoutering,1.0,0.79
accouterment,0.477,0.481
accouterments,0.275,0.326
accouters,1.0,0.79
accoutre,1.0,0.79
accoutred,0.591,0.541
accoutrement,0.281,0.332
accoutrements,0.231,0.273
accoutres,1.0,0.79
accoutring,1.0,0.79
accredit,0.237,0.282
accreditable,0.477,0.481
accreditation,0.157,0.142
accreditations,0.383,0.422
accredited,0.136,0.091
accrediting,0.239,0.285
accredits,0.325,0.375
accrete,0.247,0.295
accreted,0.242,0.288
accretes,0.358,0.403
accreting,0.383,0.422
accretion,0.187,0.204
accretionary,1.0,0.79
accretions,0.294,0.347
accretive,0.383,0.422
accruable,1.0,0.79
accrual,0.214,0.25
accruals,0.477,0.481
accrue,0.146,0.116
accrued,0.15,0.126
accruement,0.477,0.481
accruements,1.0,0.79
accrues,0.185,0.201
accruing,0.171,0.173
acculturate,0.419,0.446
acculturated,0.257,0.306
acculturates,1.0,0.79
acculturating,0.419,0.446
acculturation,0.209,0.242
acculturational,1.0,0.79
acculturations,1.0,0.79
acculturative,1.0,0.79
accumbent,1.0,0.79
accumulate,0.122,0.058
accumulated,0.123,0.061
accumulates,0.153,0.132
accumulating,0.136,0.091
accumulation,0.128,0.072
accumulations,0.224,0.264
accumulative,0.231,0.273
accumulatively,0.591,0.541
accumulator,0.172,0.175
accumulators,0.233,0.276
accuracies,0.25,0.298
accuracy,0.105,0.026
accurate,0.09,0.008
accurately,0.103,0.022
accurateness,0.591,0.541
accuratenesses,1.0,0.79
accursed,0.193,0.215
accursedly,0.591,0.541
accursedness,1.0,0.79
accursednesses,1.0,0.79
accurst,0.591,0.541
accusable,0.591,0.541
accusably,1.0,0.79
accusal,0.287,0.339
accusals,0.383,0.422
accusant,1.0,0.79
accusants,1.0,0.79
accusation,0.111,0.036
accusations,0.107,0.029
accusative,0.195,0.219
accusatives,0.591,0.541
accusatory,0.165,0.16
accuse,0.106,0.027
accused,0.1,0.018
accuser,0.135,0.088
accusers,0.151,0.128
accuses,0.132,0.081
accusing,0.11,0.034
accusingly,0.287,0.339
accustom,0.205,0.236
accustomation,1.0,0.79
accustomations,1.0,0.79
accustomed,0.12,0.054
accustomedness,1.0,0.79
accustoming,0.477,0.481
accustoms,0.383,0.422
ace,0.122,0.058
aced,0.162,0.153
acedia,1.0,0.79
acedias,1.0,0.79
aceldama,1.0,0.79
aceldamas,1.0,0.79
acellular,0.383,0.422
acentric,0.591,0.541
acephalic,1.0,0.79
acephalous,0.591,0.541
acequia,1.0,0.79
acequias,1.0,0.79
acerate,1.0,0.79
acerated,1.0,0.79
acerb,1.0,0.79
acerbate,0.591,0.541
acerbated,1.0,0.79
acerbates,1.0,0.79
acerbating,1.0,0.79
acerber,1.0,0.79
acerbest,1.0,0.79
acerbic,0.184,0.199
acerbically,0.419,0.446
acerbities,1.0,0.79
acerbity,1.0,0.79
acerola,0.591,0.541
acerolas,0.591,0.541
acerose,1.0,0.79
acerous,1.0,0.79
acervate,1.0,0.79
acervuli,1.0,0.79
acervulus,1.0,0.79
aces,0.152,0.13
acescent,1.0,0.79
acescents,1.0,0.79
aceta,1.0,0.79
acetabula,1.0,0.79
acetabular,1.0,0.79
acetabulum,0.591,0.541
acetabulums,1.0,0.79
acetal,0.591,0.541
acetaldehyde,0.213,0.248
acetaldehydes,1.0,0.79
acetals,1.0,0.79
acetamid,1.0,0.79
acetamide,0.591,0.541
acetamides,1.0,0.79
acetamids,1.0,0.79
acetaminophen,0.154,0.135
acetaminophens,0.591,0.541
acetanilid,1.0,0.79
acetanilide,1.0,0.79
acetanilides,1.0,0.79
acetanilids,1.0,0.79
acetate,0.183,0.197
acetated,0.591,0.541
acetates,0.27,0.321
acetazolamide,1.0,0.79
acetazolamides,1.0,0.79
acetic,0.221,0.26
acetification,1.0,0.79
acetifications,1.0,0.79
acetified,1.0,0.79
acetifier,1.0,0.79
acetifiers,1.0,0.79
acetifies,1.0,0.79
acetify,1.0,0.79
acetifying,1.0,0.79
acetin,1.0,0.79
acetins,1.0,0.79
acetone,0.174,0.179
acetones,1.0,0.79
acetonic,1.0,0.79
acetonitrile,0.265,0.316
acetonitriles,1.0,0.79
